Sample Rate,8265
Sample Number,Amplitude
0,121
1,120
2,120
3,121
4,102
5,89
6,92
7,103
8,122
9,117
10,101
11,90
12,77
13,73
14,93
15,118
16,128
17,112
18,85
19,78
20,83
21,99
22,116
23,132
24,139
25,131
26,117
27,112
28,110
29,104
30,113
31,125
32,126
33,126
34,115
35,99
36,103
37,114
38,116
39,121
40,132
41,122
42,111
43,111
44,98
45,92
46,104
47,118
48,125
49,125
50,116
51,103
52,117
53,133
54,119
55,126
56,143
57,139
58,145
59,148
60,136
61,125
62,122
63,129
64,142
65,147
66,133
67,118
68,120
69,125
70,125
71,132
72,132
73,126
74,128
75,131
76,126
77,117
78,113
79,109
80,116
81,130
82,136
83,138
84,146
85,153
86,146
87,144
88,149
89,152
90,166
91,176
92,169
93,161
94,160
95,156
96,162
97,175
98,164
99,145
100,142
101,140
102,144
103,160
104,163
105,151
106,157
107,157
108,146
109,140
110,134
111,124
112,129
113,145
114,149
115,156
116,163
117,156
118,150
119,149
120,142
121,139
122,151
123,161
124,157
125,164
126,162
127,141
128,139
129,145
130,141
131,142
132,138
133,121
134,122
135,134
136,129
137,123
138,128
139,135
140,139
141,130
142,108
143,97
144,105
145,123
146,133
147,139
148,141
149,132
150,123
151,129
152,125
153,115
154,116
155,117
156,117
157,130
158,139
159,139
160,139
161,133
162,132
163,126
164,118
165,111
166,106
167,106
168,103
169,101
170,111
171,118
172,119
173,111
174,93
175,83
176,91
177,107
178,117
179,131
180,125
181,114
182,114
183,119
184,118
185,113
186,99
187,89
188,96
189,104
190,118
191,136
192,137
193,122
194,112
195,113
196,110
197,96
198,89
199,86
200,81
201,83
202,83
203,86
204,87
205,83
206,75
207,62
208,69
209,80
210,93
211,108
212,106
213,92
214,88
215,97
216,106
217,117
218,111
219,87
220,67
221,62
222,75
223,102
224,135
225,137
226,123
227,122
228,112
229,99
230,96
231,97
232,94
233,84
234,87
235,88
236,92
237,94
238,85
239,89
240,99
241,96
242,106
243,123
244,122
245,118
246,117
247,116
248,114
249,123
250,128
251,115
252,98
253,77
254,71
255,97
256,129
257,151
258,164
259,156
260,135
261,120
262,118
263,112
264,113
265,117
266,106
267,102
268,106
269,101
270,97
271,106
272,118
273,120
274,132
275,134
276,125
277,128
278,126
279,123
280,123
281,135
282,139
283,144
284,145
285,117
286,86
287,85
288,101
289,124
290,163
291,181
292,164
293,150
294,136
295,124
296,133
297,141
298,132
299,120
300,116
301,109
302,111
303,122
304,121
305,123
306,138
307,143
308,140
309,140
310,138
311,135
312,146
313,152
314,155
315,166
316,167
317,158
318,145
319,125
320,112
321,120
322,145
323,177
324,198
325,197
326,177
327,160
328,157
329,160
330,160
331,162
332,148
333,124
334,118
335,120
336,124
337,137
338,153
339,161
340,162
341,155
342,139
343,136
344,142
345,141
346,142
347,152
348,153
349,149
350,152
351,134
352,109
353,104
354,108
355,117
356,148
357,180
358,183
359,172
360,151
361,132
362,132
363,129
364,124
365,117
366,105
367,93
368,92
369,109
370,120
371,126
372,141
373,143
374,132
375,126
376,123
377,118
378,115
379,118
380,124
381,132
382,134
383,129
384,114
385,108
386,93
387,81
388,100
389,129
390,149
391,153
392,151
393,135
394,118
395,117
396,117
397,113
398,105
399,87
400,77
401,89
402,102
403,103
404,112
405,120
406,116
407,120
408,114
409,111
410,113
411,105
412,102
413,113
414,128
415,123
416,120
417,111
418,86
419,67
420,57
421,65
422,87
423,118
424,136
425,138
426,135
427,119
428,101
429,91
430,89
431,79
432,71
433,72
434,69
435,72
436,82
437,86
438,92
439,99
440,97
441,99
442,110
443,112
444,97
445,89
446,96
447,97
448,98
449,107
450,106
451,102
452,94
453,77
454,73
455,86
456,101
457,118
458,139
459,143
460,130
461,125
462,123
463,108
464,99
465,96
466,87
467,86
468,90
469,91
470,102
471,109
472,105
473,103
474,107
475,113
476,119
477,118
478,124
479,125
480,126
481,130
482,128
483,129
484,123
485,111
486,97
487,93
488,93
489,101
490,118
491,129
492,134
493,143
494,146
495,140
496,140
497,139
498,132
499,125
500,113
501,99
502,98
503,108
504,105
505,100
506,107
507,112
508,123
509,137
510,135
511,135
512,147
513,150
514,151
515,165
516,155
517,138
518,134
519,124
520,109
521,106
522,112
523,108
524,116
525,132
526,140
527,144
528,148
529,147
530,145
531,151
532,153
533,142
534,140
535,145
536,139
537,139
538,142
539,140
540,141
541,144
542,140
543,137
544,147
545,154
546,160
547,164
548,166
549,168
550,169
551,164
552,147
553,143
554,150
555,140
556,134
557,133
558,129
559,141
560,148
561,144
562,142
563,145
564,151
565,155
566,160
567,162
568,158
569,156
570,156
571,149
572,142
573,134
574,126
575,129
576,123
577,118
578,122
579,123
580,125
581,135
582,144
583,141
584,139
585,135
586,129
587,126
588,124
589,116
590,108
591,116
592,125
593,128
594,129
595,134
596,130
597,128
598,128
599,121
600,128
601,137
602,140
603,138
604,135
605,128
606,121
607,123
608,120
609,113
610,118
611,122
612,110
613,106
614,106
615,102
616,104
617,104
618,98
619,99
620,108
621,113
622,109
623,107
624,106
625,104
626,118
627,126
628,123
629,119
630,110
631,104
632,108
633,110
634,111
635,112
636,117
637,121
638,129
639,133
640,120
641,109
642,106
643,99
644,93
645,98
646,91
647,84
648,90
649,86
650,79
651,80
652,82
653,83
654,83
655,83
656,75
657,79
658,89
659,83
660,85
661,94
662,100
663,106
664,107
665,101
666,104
667,115
668,113
669,105
670,106
671,110
672,107
673,107
674,108
675,99
676,102
677,109
678,102
679,100
680,107
681,107
682,102
683,105
684,101
685,86
686,84
687,87
688,82
689,86
690,99
691,96
692,96
693,107
694,108
695,114
696,126
697,121
698,114
699,124
700,124
701,118
702,121
703,123
704,122
705,131
706,135
707,134
708,138
709,141
710,130
711,121
712,115
713,106
714,110
715,113
716,109
717,106
718,109
719,109
720,101
721,105
722,112
723,111
724,117
725,120
726,116
727,112
728,110
729,107
730,113
731,125
732,135
733,145
734,150
735,142
736,140
737,150
738,160
739,157
740,158
741,155
742,145
743,141
744,138
745,128
746,125
747,125
748,114
749,116
750,126
751,124
752,123
753,123
754,118
755,108
756,110
757,115
758,119
759,136
760,144
